,title,location,ppp_number,price
146,FOR SALE CITRALAND NORTHWEST,citraland northwest,PPP Number : OXMPN-00000352,"IDR 1,100,000,000"
147,RUMAH GRIYA ASRI LINGKUNGAN NYAMAN ROW J...,Griya Asri - Pakuwon City,PPP Number : OXMCI-00003462,"IDR 1,500,000,000"
148,PROPERTY RUMAH BARU ECO MEDAYU RUNGKUT S...,Medayu,PPP Number : OXMTP-00009431,"IDR 1,200,000,000"
149,RUMAH BARU ECO MEDAYU RUNGKUT SURABAYA 2...,Medayu,PPP Number : OXMTP-00009428,"IDR 1,200,000,000"
150,RUMAH BARU ECO MEDAYU RUNGKUT 2LANTAI MI...,Medayu,PPP Number : OXMTP-00009427,"IDR 1,200,000,000"
151,RUMAH PRABAN KULON 3 LANTAI LOKASI STRAT...,Praban Kulon,PPP Number : OXMCI-00003457,"IDR 1,100,000,000"
152,JUAL RUMAH BARU GRESS 2LANTAI DI PERUMAH...,Bumi Wonorejo Asri,PPP Number : OXMTP-00009410,"IDR 850,000,000"
153,PROPERTY RUMAH MINIMALIS ROYAL RESIDENCE...,Royal residence,PPP Number : OXMTP-00009408,"IDR 1,420,000,000"
154,PROPERTY RUMAH BARU PENJARINGAN RUNGKUT ...,Penjaringan,PPP Number : OXMTP-00009405,"IDR 1,175,000,000"
155,RUMAH BARU MINIMALIS PENJARINGAN RUNGKUT...,Penjaringan,PPP Number : OXMTP-00009404,"IDR 1,175,000,000"
156,RUMAH MINIMALIS ROYAL RESIDENCE CLUSTER ...,Royal residence,PPP Number : OXMTP-00009401,"IDR 1,420,000,000"
157,RUMAH BARU MINIMALIS ROYAL RESIDENCE CLU...,Royal residence,PPP Number : OXMTP-00009398,"IDR 1,420,000,000"
158,RUMAH MINIMALIS BARU PENJARINGAN RUNGKUT...,Penjaringan rungkut,PPP Number : OXMTP-00009395,"IDR 1,175,000,000"
159,"DIJUAL RUMAH  DI DUKUH JELIDRO IB, SURAB...","Dukuh Jelidro IB, Surabaya Barat",PPP Number : OXMMJ-00003850,"IDR 675,000,000"
160,RUMAH CILAND NORTH WEST PARK 2LT TERAWAT...,North West Park,PPP Number : OXMCI-00003453,"IDR 1,450,000,000"
161,HUNIAN NYAMAN CITRALAND NORTH WEST PARK ...,North West Park,PPP Number : OXMCI-00003452,"IDR 875,000,000"
162,JUAL  RUMAH WIGUNA SELATAN. MURAAAH,Jl Wiguna Selatan,PPP Number : OXMMG-00000931,"IDR 850,000,000"
163,DI JUAL RUMAH KEBRAON BARAT SURABAYA,Kebraon barat surabaya,PPP Number : OXMBL-00001716,"IDR 680,000,000"
164,JUAL RUMAH PAKAL RESIDENCE SURABAYA BARA...,pakal residence,PPP Number : OXMDP-00000870,"IDR 575,000,000"
165,DI JUAL RUMAH WISMA GUNUNG ANYAR TENGAH ...,Wisma gunung anyar tengah surabaya,PPP Number : OXMBL-00001699,"IDR 1,100,000,000"
166,RUMAH CITRALAND BUKIT PALMA LINGKUNGAN N...,Bukit Palma,PPP Number : OXMCI-00003446,"IDR 1,130,000,000"
167,DIJUAL RUMAH KLASIK KONTEMPORER BAGUS DI...,Grand Harvest,PPP Number : OXMRW-00000176,"IDR 1,200,000,000"
168,DIJUAL RUMAH KLASIK KONTEMPORER DI GRAND...,Grand Harvest,PPP Number : OXMRW-00000175,"IDR 1,300,000,000"
169,DIJUAL RUMAH WONOREJO INDAH TIMUR SURABA...,Wonorejo Indah Timur,PPP Number : OXMMG-00000917,"IDR 775,000,000"
170,DIJUAL RUMAH TERMURAH DI PERUM. PONDOK M...,"Pondok Maritim Wiyung, Surabaya Barat.",PPP Number : OXMMJ-00003835,"IDR 1,150,000,000"
171,DIJUAL RUMAH DI KUWUKAN LAPANGAN  LONTAR...,"Lontar, Surabaya Barat.",PPP Number : OXMMJ-00003834,"IDR 1,300,000,000"
172,JUAL RUMAH CITRA SENTOSA,Citra Sentosa,PPP Number : OXMNC-00002670,"IDR 1,000,000,000"
173,RUMAH MINIMALIS GUNUNG ANYAR TAMBAK,Gunung Anyar Tambak,PPP Number : OXMMJ-00003824,"IDR 875,000,000"
174,RUMAH MURAH SIAP HUNI THE ROYAL PARK RES...,Gununganyar,PPP Number : OXMTP-00009344,"IDR 850,000,000"
175,RUMAH THE ROYAL PARK RESIDENCE GUNUNGANY...,Gununganyar,PPP Number : OXMTP-00009339,"IDR 850,000,000"
176,RUMAH 2LANTAI MURAH SIAP HUNI LOKASI DI ...,Gununganyar,PPP Number : OXMTP-00009333,"IDR 850,000,000"
177,RUMAH SIAP HUNI 1.5 LANTAI SIWALANKERTO ...,Siwalankerto Surabaya,PPP Number : OXMMJ-00003801,"IDR 1,300,000,000"
178,RUMAH WISATA BUKIT MAS TIPE PADDINGTON 5...,Wisata Bukit Mas - Tipe Paddington,PPP Number : OXMHR-00000892,"IDR 1,500,000,000"
179,DIJUAL RUMAH 2 LANTAI MINIMALIS MODERN D...,Rungkut,PPP Number : OXMTP-00009306,"IDR 1,450,000,000"
180,JUAL CEPAT RUMAH HITUNG TANAH MULYOSARI,mulyosari utara,PPP Number : OXMHV-00000709,"IDR 1,450,000,000"
181,PROPERTY RUMAH DI PRAMBANAN RESIDENCE 2L...,Prambanan residence,PPP Number : OXMTP-00009292,"IDR 1,450,000,000"
182,RUMAH 2LANTAI DI PRAMBANAN RESIDENCE WIY...,Prambanan residence,PPP Number : OXMTP-00009291,"IDR 1,450,000,000"
183,RUMAH 2LANTAI PRAMBANAN RESIDENCE WIYUNG...,Prambanan residence,PPP Number : OXMTP-00009286,"IDR 1,450,000,000"
184,RUMAH CITRALAND NORTH WEST HILL 2 LANTAI...,North West Hill,PPP Number : OXMCI-00003418,"IDR 1,100,000,000"
185,DIJUAL RUMAH COCOK BUAT USAHA DI KEDURUS,kedurus,PPP Number : OXMGH-00000964,"IDR 850,000,000"
186,RUMAH CANTIK NEW GRESS 2 LANTAI SENTRA P...,Sentra Point Gunung Anyar,PPP Number : OXMMR-00000726,"IDR 1,350,000,000"
187,PROPERTY RUMAH BARU MINIMALIS EASTERN PA...,Sukolilo mulia,PPP Number : OXMTP-00009280,"IDR 1,250,000,000"
188,PROPERTY RUMAH BARU GRESS DI PERUMAHAN B...,Bumi wonorejo asri,PPP Number : OXMTP-00009278,"IDR 850,000,000"
189,RUMAH BARU 2LANTAI LOKASI DI PERUMAHAN B...,Bumi wonorejo asri,PPP Number : OXMTP-00009275,"IDR 850,000,000"
